model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,dutch_social,conll_nl,scala_nl,squad_nl,wiki_lingua_nl,mmlu_nl,hellaswag_nl,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (zero-shot, val)</a>",📝,2.18@@2.18,,100256.0,8191.0,✓,✗,11.13 ± 1.98 / 18.38 ± 1.21@@11.12511215614849,55.72 ± 3.68 / 40.53 ± 2.95@@55.71679312668374,67.28 ± 2.42 / 83.06 ± 1.36@@67.27954490914777,75.76 ± 0.77 / 50.45 ± 1.45@@75.75509906918946,64.09 ± 0.08 / 12.91 ± 0.15@@64.09217876149341,68.71 ± 1.85 / 76.64 ± 1.35@@68.70618638306422,71.70 ± 2.75 / 78.16 ± 2.13@@71.69743588710531,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.2.0.dev0@@140200,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/google/gemma-2-27b-it'>google/gemma-2-27b-it (few-shot)</a>,📝,2.21@@2.21,27227128320.0,256000.0,8192.0,✓,✗,14.01 ± 0.99 / 36.51 ± 1.12@@14.012353699229596,61.08 ± 1.26 / 41.68 ± 2.36@@61.07932108772201,56.71 ± 1.12 / 78.25 ± 0.58@@56.71194953714025,75.51 ± 0.68 / 55.92 ± 1.04@@75.50979862941395,65.57 ± 0.22 / 16.29 ± 0.43@@65.56846913372283,58.13 ± 0.81 / 68.42 ± 0.62@@58.132660204184575,64.18 ± 1.13 / 72.71 ± 0.83@@64.17765229676465,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,2.22@@2.22,,200019.0,8191.0,✓,✗,12.67 ± 2.02 / 18.63 ± 1.37@@12.665183411452963,64.15 ± 2.49 / 38.77 ± 2.59@@64.15112941443789,62.44 ± 3.24 / 80.58 ± 1.66@@62.43729630664356,73.09 ± 1.04 / 44.00 ± 1.63@@73.08577234049741,64.26 ± 0.11 / 13.64 ± 0.19@@64.26141520496458,56.45 ± 2.36 / 67.46 ± 1.73@@56.45368214883737,62.09 ± 2.86 / 71.09 ± 2.06@@62.09217403510225,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,14.2.0.dev0@@140200,14.0.1@@140001,14.0.3@@140003,14.0.3@@140003
<a href='https://huggingface.co/ThatsGroes/gemma-2-27b-it-FP8-Dynamic'>ThatsGroes/gemma-2-27b-it-FP8-Dynamic (few-shot)</a>,📝,2.23@@2.23,28410968576.0,256000.0,8192.0,✓,✗,14.07 ± 1.10 / 35.45 ± 0.91@@14.066717730214833,59.06 ± 1.46 / 39.67 ± 1.90@@59.05897129162552,56.90 ± 1.18 / 78.34 ± 0.63@@56.89798022523795,74.49 ± 0.79 / 54.34 ± 1.11@@74.49360609360777,65.58 ± 0.19 / 16.78 ± 0.22@@65.57575173908845,58.99 ± 0.81 / 69.16 ± 0.61@@58.98760595432807,64.97 ± 1.08 / 73.21 ± 0.80@@64.97225055704664,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct (few-shot)</a>,📝,2.24@@2.24,70553706496.0,128256.0,8192.0,✓,✗,10.61 ± 1.50 / 21.44 ± 0.87@@10.606420075733352,66.69 ± 1.81 / 50.93 ± 2.99@@66.69471601129315,58.64 ± 1.06 / 79.12 ± 0.61@@58.63662354047159,75.17 ± 0.62 / 51.32 ± 1.12@@75.16991355321163,65.59 ± 0.38 / 17.32 ± 0.44@@65.59111328184372,62.52 ± 1.04 / 71.84 ± 0.78@@62.52110885078665,64.47 ± 1.41 / 72.97 ± 1.10@@64.47057841578359,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (few-shot, val)</a>",📝,2.25@@2.25,8000000000.0,256128.0,1048576.0,✓,✗,13.97 ± 2.30 / 31.43 ± 1.90@@13.970947558898192,61.73 ± 2.89 / 49.81 ± 3.67@@61.72601534925556,65.11 ± 4.64 / 82.25 ± 2.35@@65.11061650416381,74.31 ± 0.76 / 49.40 ± 1.55@@74.31345773415488,65.74 ± 0.33 / 16.13 ± 0.54@@65.7423337828368,57.33 ± 1.44 / 67.77 ± 1.16@@57.33062837647538,47.74 ± 2.79 / 60.00 ± 2.09@@47.742339055255655,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://docs.x.ai/docs/models'>xai/grok-2-1212 (zero-shot, val)</a>",📝,2.25@@2.25,,,131072.0,✓,✗,14.98 ± 2.72 / 31.87 ± 1.95@@14.983466732206423,62.75 ± 3.57 / 43.61 ± 2.15@@62.747624305926706,34.40 ± 2.37 / 56.92 ± 1.86@@34.40109850783607,76.58 ± 0.68 / 52.00 ± 1.13@@76.57565024415211,64.98 ± 0.11 / 13.07 ± 0.16@@64.98386206221767,68.40 ± 2.51 / 76.41 ± 1.85@@68.39842970178599,72.35 ± 2.34 / 78.87 ± 1.82@@72.34922912579357,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt (few-shot)</a>,🧠,2.30@@2.30,12187325040.0,262144.0,,✓,✗,15.14 ± 2.12 / 38.51 ± 2.32@@15.144951407158219,62.71 ± 2.14 / 47.31 ± 2.06@@62.711552501472646,49.72 ± 4.14 / 72.04 ± 3.56@@49.72475862153086,76.51 ± 3.33 / 63.72 ± 3.13@@76.50634107293969,68.09 ± 1.38 / 22.85 ± 2.28@@68.0907591815776,58.09 ± 0.61 / 68.37 ± 0.46@@58.09448857195735,45.67 ± 3.52 / 57.30 ± 3.25@@45.665378584276915,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024 (few-shot)</a>,📝,2.31@@2.31,32296476672.0,256000.0,131072.0,✗,✗,14.41 ± 1.69 / 35.58 ± 1.84@@14.410321550306632,68.58 ± 1.76 / 44.49 ± 2.32@@68.57625181312986,55.01 ± 1.21 / 77.17 ± 0.63@@55.00728547206503,76.12 ± 0.81 / 59.07 ± 0.69@@76.12423680903471,65.69 ± 0.95 / 16.39 ± 0.64@@65.6853160969331,50.48 ± 0.92 / 62.55 ± 0.71@@50.480738554820924,49.08 ± 1.51 / 60.63 ± 1.34@@49.07601459701668,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/google/gemma-3-12b-it'>google/gemma-3-12b-it (few-shot)</a>,📝,2.32@@2.32,12187325040.0,262144.0,,✓,✗,13.36 ± 1.38 / 34.54 ± 0.99@@13.36008027862577,57.41 ± 1.58 / 39.79 ± 1.37@@57.41015676528796,52.67 ± 1.70 / 74.91 ± 1.28@@52.66723740219299,74.05 ± 0.99 / 55.75 ± 1.19@@74.0526097137413,65.50 ± 0.19 / 16.78 ± 0.27@@65.50233809961355,57.26 ± 0.69 / 67.79 ± 0.53@@57.25828504799524,65.70 ± 0.94 / 74.19 ± 0.71@@65.69841871862867,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,2.37@@2.37,,,1047576.0,✓,✗,8.53 ± 1.92 / 24.06 ± 1.24@@8.526301725774976,58.25 ± 2.75 / 32.89 ± 2.35@@58.25147057797396,55.44 ± 2.84 / 77.07 ± 1.63@@55.44226763758018,75.40 ± 0.77 / 48.30 ± 1.26@@75.40233491550214,64.65 ± 0.07 / 13.57 ± 0.15@@64.6537436498329,66.56 ± 2.41 / 74.88 ± 1.80@@66.55966447709235,63.32 ± 2.14 / 72.23 ± 1.55@@63.31822208302278,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,2.37@@2.37,,256128.0,1048576.0,✓,✗,6.00 ± 2.08 / 27.09 ± 1.67@@5.995547902610325,54.92 ± 2.56 / 37.37 ± 2.30@@54.9170906998892,57.23 ± 3.01 / 78.47 ± 1.57@@57.22981890140233,73.11 ± 0.93 / 46.15 ± 1.49@@73.109171648215,65.36 ± 0.09 / 14.70 ± 0.19@@65.35643743816763,68.83 ± 2.67 / 76.72 ± 1.98@@68.82741482748138,67.86 ± 2.72 / 75.98 ± 2.03@@67.8550748519462,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B (few-shot)</a>,📝,2.37@@2.37,8030261248.0,128256.0,131072.0,✓,✗,14.67 ± 1.52 / 39.01 ± 1.08@@14.674477481765397,58.69 ± 1.53 / 35.13 ± 1.33@@58.69477767375917,49.15 ± 1.38 / 73.79 ± 0.89@@49.153083391952755,74.15 ± 0.69 / 56.04 ± 0.85@@74.14628823302482,65.51 ± 0.11 / 16.54 ± 0.22@@65.51108957733959,48.08 ± 0.93 / 60.74 ± 0.74@@48.08202760171293,59.20 ± 0.93 / 69.25 ± 0.69@@59.204375863922245,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0 (few-shot)</a>,🧠,2.38@@2.38,10731524096.0,32000.0,4096.0,✓,✗,15.40 ± 1.59 / 37.56 ± 2.76@@15.403079675099407,64.85 ± 3.22 / 46.33 ± 1.24@@64.85062663754971,41.57 ± 1.03 / 69.95 ± 0.96@@41.5709926626318,84.04 ± 0.53 / 70.94 ± 0.72@@84.04222882098192,68.62 ± 0.52 / 26.03 ± 0.70@@68.61947432953457,37.99 ± 0.81 / 53.37 ± 0.61@@37.991451431663776,49.80 ± 1.87 / 60.30 ± 1.64@@49.79651791974124,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (few-shot)</a>,📝,2.39@@2.39,11168796672.0,32128.0,32768.0,✓,✓,14.33 ± 1.82 / 37.75 ± 1.51@@14.333066484719344,66.76 ± 1.44 / 46.30 ± 3.18@@66.76097597012033,42.62 ± 2.32 / 70.58 ± 1.44@@42.61770635569302,79.16 ± 0.55 / 59.36 ± 1.56@@79.16145172773793,65.76 ± 0.19 / 15.34 ± 0.23@@65.75567133797449,41.02 ± 1.28 / 55.76 ± 0.96@@41.021589357934694,55.01 ± 0.83 / 66.05 ± 0.64@@55.00605764188923,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
"<a href='https://platform.openai.com/docs/models/gpt-3.5-turbo'>gpt-3.5-turbo-0613 (few-shot, val)</a>",📝,2.40@@2.40,,100256.0,4095.0,✓,✗,8.81 ± 3.30 / 30.88 ± 2.25@@8.814224080409815,68.96 ± 3.80 / 58.45 ± 3.71@@68.96057516643064,58.95 ± 4.48 / 78.64 ± 2.32@@58.945568526792805,68.26 ± 1.85 / 55.57 ± 2.33@@68.25713018821233,69.13 ± 0.41 / 21.32 ± 0.75@@69.12998343119398,42.28 ± 2.88 / 56.45 ± 2.26@@42.28172845015723,61.52 ± 2.69 / 70.62 ± 2.20@@61.51957590724096,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.41@@2.41,,,1047576.0,✓,✗,18.43 ± 2.39 / 37.22 ± 1.78@@18.43140233276356,45.97 ± 3.15 / 39.57 ± 2.13@@45.965932792248864,55.28 ± 2.69 / 77.27 ± 1.37@@55.2832141023368,68.19 ± 0.82 / 40.91 ± 1.06@@68.18659751096246,64.50 ± 0.11 / 12.82 ± 0.16@@64.49947244254872,53.80 ± 3.23 / 64.96 ± 2.41@@53.79821754194827,42.37 ± 2.89 / 55.86 ± 2.19@@42.371077257625004,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/google/gemma-2-27b'>google/gemma-2-27b (few-shot)</a>,🧠,2.43@@2.43,27227128320.0,256000.0,8192.0,✓,✗,14.61 ± 2.93 / 39.05 ± 2.45@@14.61063947380407,41.66 ± 1.13 / 43.89 ± 1.19@@41.658706278285166,48.67 ± 4.00 / 72.78 ± 3.70@@48.674782329930835,82.44 ± 1.32 / 69.93 ± 0.93@@82.44371098583193,68.90 ± 1.76 / 24.46 ± 2.87@@68.9044979542814,56.84 ± 0.74 / 67.44 ± 0.54@@56.83655306363094,44.02 ± 4.19 / 54.64 ± 3.81@@44.022765250253364,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF'>nvidia/Llama-3.1-Nemotron-70B-Instruct-HF (few-shot)</a>,📝,2.43@@2.43,70553706496.0,128256.0,131072.0,✓,✗,10.80 ± 1.40 / 20.34 ± 0.88@@10.803753686451694,55.08 ± 2.19 / 30.07 ± 1.17@@55.084830588276056,61.31 ± 1.10 / 80.58 ± 0.56@@61.30981352695483,75.28 ± 0.37 / 53.22 ± 1.08@@75.28058784307247,52.72 ± 0.51 / 9.05 ± 0.31@@52.718693337228615,68.15 ± 1.32 / 76.04 ± 1.01@@68.1530245255439,72.50 ± 0.80 / 79.13 ± 0.64@@72.50216331532592,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (few-shot, val)</a>",📝,2.43@@2.43,,,1047576.0,✓,✗,8.62 ± 1.58 / 25.42 ± 1.06@@8.619035026355437,65.24 ± 3.86 / 47.43 ± 3.26@@65.24244313747343,58.38 ± 4.80 / 77.50 ± 3.16@@58.37802285392895,72.33 ± 1.17 / 45.48 ± 1.69@@72.33466287287554,66.01 ± 0.32 / 15.74 ± 0.67@@66.01110045448877,56.12 ± 2.88 / 66.99 ± 2.23@@56.11590718029239,46.34 ± 3.27 / 59.26 ± 2.52@@46.339061858117944,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,2.44@@2.44,8000000000.0,256128.0,1048576.0,✓,✗,16.98 ± 1.99 / 29.73 ± 1.83@@16.983691203741202,51.11 ± 3.08 / 30.39 ± 2.21@@51.112472406535126,54.14 ± 3.90 / 75.19 ± 2.13@@54.14320288737243,72.07 ± 0.94 / 48.55 ± 1.03@@72.07485149009172,64.72 ± 0.10 / 13.68 ± 0.20@@64.71592845395207,53.77 ± 2.20 / 64.88 ± 1.73@@53.76845936051301,40.95 ± 1.29 / 54.34 ± 1.04@@40.9517066898796,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (zero-shot, val)</a>",📝,2.45@@2.45,,256128.0,1048576.0,✓,✗,10.92 ± 2.08 / 29.90 ± 1.84@@10.920272310711436,56.33 ± 3.23 / 35.58 ± 2.07@@56.32760781019728,53.62 ± 3.99 / 76.14 ± 2.05@@53.61936899849622,69.15 ± 1.03 / 42.18 ± 0.89@@69.15323888132897,64.35 ± 0.12 / 13.91 ± 0.21@@64.35086575802416,61.77 ± 2.99 / 71.48 ± 2.23@@61.7720189942387,50.83 ± 1.99 / 62.03 ± 1.69@@50.82592187030011,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf (few-shot)</a>,📝,2.46@@2.46,68976648192.0,32000.0,32764.0,✓,✗,12.18 ± 1.75 / 34.13 ± 1.02@@12.180647972010018,52.06 ± 2.34 / 33.61 ± 1.29@@52.06264345493044,53.78 ± 1.10 / 76.02 ± 0.91@@53.77949222314935,70.73 ± 1.44 / 45.54 ± 3.29@@70.73170110638259,66.03 ± 0.28 / 15.78 ± 0.38@@66.02618227087078,53.94 ± 1.05 / 65.26 ± 0.79@@53.93777590153369,55.59 ± 1.57 / 65.93 ± 1.35@@55.58774891855683,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/google/gemma-2-9b-it'>google/gemma-2-9b-it (few-shot)</a>,📝,2.49@@2.49,9241705984.0,256000.0,8192.0,✓,✗,11.91 ± 1.64 / 31.42 ± 1.60@@11.905385908697093,44.90 ± 2.44 / 35.58 ± 1.49@@44.90121107882564,52.17 ± 1.64 / 73.12 ± 1.26@@52.170601532995086,74.83 ± 0.49 / 54.45 ± 1.01@@74.83241907371175,65.71 ± 0.14 / 16.72 ± 0.19@@65.71301467789453,54.14 ± 0.74 / 65.48 ± 0.56@@54.144794093673966,59.45 ± 1.08 / 69.40 ± 0.87@@59.44892771670316,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,2.50@@2.50,,,200000.0,✓,✗,12.71 ± 2.21 / 30.22 ± 1.53@@12.713775313214065,61.15 ± 3.04 / 43.60 ± 2.00@@61.145725421411726,35.26 ± 2.46 / 59.55 ± 1.69@@35.25822310712442,68.75 ± 0.97 / 38.87 ± 1.41@@68.75291999745937,64.93 ± 0.11 / 13.88 ± 0.23@@64.93481932207942,59.28 ± 2.71 / 69.26 ± 2.12@@59.278960195218446,50.45 ± 2.20 / 61.68 ± 1.89@@50.44899929373992,14.0.2@@140002,14.0.3@@140003,14.0.3@@140003,14.2.0.dev0@@140200,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf (few-shot)</a>,🧠,2.50@@2.50,68976653312.0,32000.0,4096.0,✓,✗,13.31 ± 2.77 / 38.19 ± 1.68@@13.312093166122347,62.67 ± 2.19 / 52.03 ± 2.11@@62.668615806623365,42.79 ± 5.39 / 67.17 ± 5.31@@42.790347298054066,80.42 ± 1.66 / 66.01 ± 1.26@@80.41518255583892,67.54 ± 1.24 / 21.75 ± 1.98@@67.5408797464479,43.89 ± 1.11 / 57.73 ± 0.83@@43.892066201391344,35.18 ± 4.14 / 48.82 ± 3.77@@35.18116391132903,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407'>mistralai/Mistral-Nemo-Instruct-2407 (few-shot)</a>,📝,2.51@@2.51,12247782400.0,131072.0,1024256.0,✓,✗,10.10 ± 1.55 / 33.62 ± 2.04@@10.09720845909788,66.57 ± 1.86 / 48.40 ± 2.67@@66.57332207281758,40.31 ± 2.25 / 69.53 ± 1.51@@40.311763327029624,74.24 ± 0.63 / 59.99 ± 0.95@@74.24063308002674,68.66 ± 0.68 / 20.75 ± 1.15@@68.66180246841395,42.50 ± 0.84 / 56.53 ± 0.62@@42.49558992224863,48.51 ± 1.44 / 60.59 ± 1.34@@48.512136304202,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/google/gemma-2-9b'>google/gemma-2-9b (few-shot)</a>,🧠,2.52@@2.52,9241705984.0,256000.0,8192.0,✓,✗,14.44 ± 2.23 / 39.32 ± 1.75@@14.443667242572403,56.89 ± 2.62 / 35.86 ± 1.76@@56.88663256044493,33.54 ± 4.03 / 59.65 ± 3.61@@33.540629531329735,78.44 ± 1.23 / 62.34 ± 0.91@@78.44394566367546,66.43 ± 1.07 / 21.16 ± 1.55@@66.43220206875412,51.83 ± 0.68 / 63.75 ± 0.49@@51.82510177868483,43.03 ± 2.80 / 55.90 ± 2.43@@43.02625372714906,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b (few-shot)</a>,🧠,2.56@@2.56,8028033024.0,256000.0,8192.0,✗,✗,13.91 ± 1.12 / 35.09 ± 0.57@@13.907139824155065,53.02 ± 1.86 / 30.09 ± 1.16@@53.022398148928204,29.97 ± 2.13 / 64.01 ± 1.12@@29.967148316858065,75.15 ± 0.59 / 56.98 ± 0.82@@75.14943664754504,73.93 ± 0.30 / 30.81 ± 0.43@@73.93261615201482,38.81 ± 1.13 / 53.87 ± 0.90@@38.81107718583323,40.95 ± 1.72 / 55.25 ± 1.38@@40.9482885318983,15.3.1.dev0@@150301,14.1.2@@140102,14.1.2@@140102,14.2.0.dev0@@140200,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102
<a href='https://huggingface.co/CohereForAI/c4ai-command-r7b-12-2024'>CohereForAI/c4ai-command-r7b-12-2024 (few-shot)</a>,📝,2.56@@2.56,8028033024.0,256000.0,4096.0,✗,✗,13.80 ± 1.42 / 33.51 ± 1.87@@13.801187730177256,61.73 ± 2.45 / 35.33 ± 1.85@@61.731235626385526,37.21 ± 1.69 / 67.42 ± 1.06@@37.21173816770456,76.28 ± 1.01 / 60.06 ± 0.59@@76.28051538627551,66.52 ± 0.34 / 17.60 ± 0.32@@66.5181715284416,40.02 ± 1.17 / 54.88 ± 0.90@@40.02208597154581,38.47 ± 1.20 / 53.60 ± 0.94@@38.465318461583756,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1'>mistralai/Mixtral-8x7B-Instruct-v0.1 (few-shot)</a>,📝,2.56@@2.56,46702792704.0,32000.0,32768.0,✓,✗,12.50 ± 1.74 / 33.57 ± 1.09@@12.503602131804719,58.80 ± 3.37 / 37.95 ± 1.80@@58.804838330868456,45.22 ± 1.65 / 71.80 ± 1.10@@45.22405280453761,72.15 ± 1.25 / 49.97 ± 1.07@@72.15083285071958,65.95 ± 0.32 / 15.67 ± 0.51@@65.95491415486322,43.41 ± 1.10 / 57.51 ± 0.81@@43.405161546112474,43.33 ± 1.37 / 57.03 ± 1.09@@43.32942026748658,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/mistralai/Mixtral-8x7B-v0.1'>mistralai/Mixtral-8x7B-v0.1 (few-shot)</a>,🧠,2.59@@2.59,46702792704.0,32000.0,32768.0,✓,✗,12.99 ± 2.90 / 35.40 ± 3.35@@12.989248300262055,64.81 ± 2.75 / 50.00 ± 2.43@@64.81043000535125,39.38 ± 1.67 / 69.22 ± 0.96@@39.383748109877935,79.80 ± 1.45 / 65.22 ± 1.22@@79.79528048578024,66.41 ± 0.70 / 20.80 ± 0.95@@66.41231482644798,45.60 ± 1.16 / 59.03 ± 0.83@@45.59941884778179,24.71 ± 2.75 / 41.41 ± 2.20@@24.706945138726137,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct (few-shot)</a>,📝,2.62@@2.62,8030261248.0,128256.0,8192.0,✓,✗,14.67 ± 2.51 / 41.36 ± 2.04@@14.672823847110456,68.72 ± 1.81 / 54.89 ± 2.10@@68.72299111873397,32.91 ± 2.56 / 64.93 ± 1.97@@32.90870744469777,67.12 ± 0.59 / 39.33 ± 0.95@@67.12105733006248,67.62 ± 0.82 / 18.19 ± 1.14@@67.61581254773773,36.18 ± 1.31 / 51.68 ± 1.05@@36.180467076603776,33.91 ± 1.71 / 48.01 ± 1.47@@33.91033845702422,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,14.2.0.dev0@@140200,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base (few-shot)</a>,🧠,2.62@@2.62,8170835968.0,49152.0,4096.0,✓,✗,14.75 ± 1.36 / 38.24 ± 2.08@@14.74525586451622,52.47 ± 2.00 / 42.03 ± 1.86@@52.47243923896706,43.39 ± 3.04 / 69.23 ± 2.57@@43.38939580892009,78.32 ± 1.47 / 64.38 ± 0.92@@78.3199611109276,66.46 ± 0.75 / 19.42 ± 1.23@@66.4619887349545,34.34 ± 0.87 / 50.51 ± 0.72@@34.34191302893769,31.85 ± 1.59 / 48.01 ± 1.12@@31.85488402597748,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
