model,rank,parameters,vocabulary_size,context,speed,commercial,merge,dutch_social_mcc,dutch_social_macro_f1,conll_nl_micro_f1_no_misc,conll_nl_micro_f1,scala_nl_mcc,scala_nl_macro_f1,squad_nl_f1,squad_nl_em,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version
meta-llama/Llama-3.2-3B (few-shot),3.34,3212749824.0,128256.0,131328,3713.14,✓,✗,7.9,30.71,47.4,33.11,3.1,34.24,68.47,56.53,13.0.0,13.0.0,13.0.0,13.0.0
AI-Sweden-Models/roberta-large-1350k,3.35,354313218.0,50265.0,512,5743.56,✓,✗,3.65,26.89,73.03,79.97,2.0,39.53,53.68,42.85,10.0.1,10.0.1,10.0.1,10.0.1
ibm-granite/granite-3b-code-instruct-2k (few-shot),3.36,3482503680.0,49152.0,2048,9058.91,✓,✗,10.15,22.01,48.53,38.2,4.88,38.78,56.09,45.38,13.0.0,13.0.0,13.0.0,13.0.0
BramVanroy/GEITje-7B-ultra-sft (few-shot),3.36,7241732096.0,32000.0,8192,5979.18,✗,✗,7.0,35.01,39.41,30.59,16.1,52.05,65.63,53.02,12.5.2,12.5.2,12.5.2,12.5.2
ibm-granite/granite-3.0-3b-a800m-base (few-shot),3.37,3374286336.0,49152.0,4096,10504.04,✓,✗,9.91,35.24,42.52,33.08,0.69,36.1,66.87,56.95,13.0.0,13.0.0,13.0.0,13.0.0
AI-Sweden-Models/roberta-large-1160k,3.38,354313218.0,50265.0,512,14014.08,✓,✗,3.5,27.25,70.92,78.52,2.06,41.06,51.93,41.4,10.0.1,10.0.1,10.0.1,10.0.1
Qwen/Qwen1.5-4B (few-shot),3.39,3950369280.0,151936.0,32768,3247.86,✓,✗,12.55,39.8,35.74,31.74,0.23,33.35,64.17,51.3,10.0.1,12.5.2,12.1.0,12.1.0
MaLA-LM/emma-500-llama2-7b (few-shot),3.44,6738415616.0,32000.0,4096,6275.17,✓,✗,8.77,25.31,36.61,31.91,3.52,35.34,70.33,59.51,13.0.0,13.0.0,13.0.0,13.0.0
allenai/OLMo-1.7-7B-hf (few-shot),3.46,6888095744.0,50304.0,4096,3371.43,✓,✗,4.34,19.37,46.95,36.13,3.46,41.32,68.14,57.07,12.10.4,12.10.5,12.10.4,12.10.5
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,3.48,134734080.0,119547.0,512,33753.4,✓,✗,17.4,39.25,65.04,70.94,-0.95,49.0,9.5,3.94,12.6.1,12.6.1,12.6.1,12.6.1
google/gemma-2b-it (few-shot),3.52,2506172416.0,256000.0,8192,6470.59,✗,✗,11.25,28.36,38.85,32.18,-2.27,37.91,56.54,45.95,12.1.0,12.5.2,12.1.0,12.4.0
meta-llama/Llama-3.2-1B-Instruct (few-shot),3.52,1235814400.0,128256.0,131328,7435.78,✗,✗,9.15,32.55,42.01,37.16,1.11,36.71,53.75,40.04,13.0.0,13.0.0,13.0.0,13.0.0
dbmdz/bert-base-historic-multilingual-cased,3.56,111243522.0,32000.0,512,20046.97,✓,✗,9.29,30.73,56.69,68.42,3.02,50.08,31.59,22.14,12.6.1,12.6.1,12.6.1,12.6.1
ibm-granite/granite-7b-base (few-shot),3.57,6738415616.0,32000.0,2048,4405.37,✓,✗,7.51,19.22,37.39,32.77,3.11,50.54,61.06,49.6,12.10.5,12.10.5,12.10.5,12.10.5
openGPT-X/Teuken-7B-instruct-research-v0.4 (few-shot),3.57,7452725248.0,250680.0,4096,1253.66,✗,✗,4.25,18.15,39.24,24.25,11.48,52.86,65.58,54.18,14.0.4,14.0.4,14.0.4,14.0.4
RuterNorway/Llama-2-7b-chat-norwegian (few-shot),3.59,,32000.0,4096,10889.7,✗,✗,11.36,30.66,35.49,29.35,2.52,42.6,47.34,37.49,9.3.1,9.3.1,9.3.1,12.5.2
stabilityai/stablelm-2-1_6b (few-shot),3.61,1644515328.0,100352.0,4096,7258.53,✓,✗,6.32,24.04,36.58,33.82,4.01,36.03,63.87,52.81,12.10.8,12.10.8,12.10.8,12.10.8
sentence-transformers/distiluse-base-multilingual-cased,3.62,134735618.0,119547.0,512,19205.51,✓,✗,9.66,31.17,56.98,66.91,19.37,56.74,7.91,3.11,<9.2.0,<9.2.0,<9.2.0,<9.2.0
utter-project/EuroLLM-1.7B-Instruct (few-shot),3.63,1656850432.0,128000.0,4096,15008.58,✓,✗,7.03,34.16,32.45,30.83,5.58,44.79,61.82,51.18,13.1.0,13.1.0,13.1.0,13.1.0
ibm-granite/granite-3.0-1b-a400m-instruct (few-shot),3.63,1334628352.0,49155.0,4096,7964.03,✓,✗,13.26,37.96,30.6,26.1,1.04,45.97,50.12,39.69,13.2.0,13.2.0,13.2.0,13.2.0
google/gemma-2-2b (few-shot),3.63,2614341888.0,256000.0,8448,5235.32,✓,✗,8.11,28.07,22.63,22.71,8.04,48.95,65.22,52.39,13.0.0,13.0.0,13.0.0,13.0.0
ibm-granite/granite-7b-instruct (few-shot),3.66,6738481152.0,32008.0,4096,3136.16,✓,✗,7.45,22.28,33.73,30.41,3.78,50.3,58.94,43.6,13.0.0,13.2.0,13.2.0,13.2.0
allenai/OLMo-7B (few-shot),3.68,6888095744.0,50280.0,2304,5402.86,✓,✗,9.55,23.9,37.37,30.45,0.05,35.78,46.37,34.81,12.5.2,12.5.2,12.5.2,12.5.2
jpostma/DagoBERT,3.72,116173826.0,40000.0,512,11241.43,✓,✗,8.01,31.6,42.28,47.68,31.21,64.82,9.49,3.65,<9.2.0,<9.2.0,<9.2.0,<9.2.0
Tweeties/tweety-7b-dutch-v24a (few-shot),3.74,7391293440.0,50257.0,1024,2971.19,✓,✗,12.47,40.41,35.83,29.15,16.81,53.38,14.18,0.0,12.6.1,12.6.1,12.6.1,12.6.1
LumiOpen/Viking-13B (few-shot),3.79,14030361600.0,131072.0,4352,839.52,✓,✗,8.57,34.17,36.74,32.36,3.01,46.03,40.73,32.32,12.5.2,12.5.2,12.5.2,12.5.2
openGPT-X/Teuken-7B-instruct-commercial-v0.4 (few-shot),3.79,7452725248.0,250680.0,4096,1437.66,✓,✗,0.78,8.63,42.35,29.29,-0.02,38.46,59.25,47.61,14.0.4,14.0.4,14.0.4,14.0.4
google/gemma-2b (few-shot),3.81,2506172416.0,256000.0,8192,6087.12,✓,✗,9.95,27.94,16.9,17.38,0.41,33.54,59.16,49.15,12.1.0,12.5.2,12.1.0,12.1.0
NorwAI/NorwAI-Mistral-7B (few-shot),3.85,7536586752.0,67993.0,4224,3034.67,✓,✗,8.31,20.06,24.15,26.49,1.6,41.51,49.32,37.08,12.10.4,12.10.4,12.10.4,12.10.4
PleIAs/Pleias-3b-Preview (few-shot),3.88,3211926528.0,65536.0,4096,6513.19,✓,✗,7.24,29.45,31.13,29.34,1.23,44.71,39.28,32.13,14.1.2,14.0.4,14.1.2,14.0.4
PleIAs/Pleias-1.2b-Preview (few-shot),3.88,1195468800.0,65536.0,2048,10756.07,✓,✗,4.99,29.17,38.22,35.62,1.85,40.34,36.19,27.77,14.1.2,14.0.4,14.1.2,14.0.4
Qwen/Qwen1.5-1.8B-Chat (few-shot),3.91,1836828672.0,151936.0,32768,8303.55,✗,✗,6.82,30.97,23.44,25.0,4.11,43.7,46.66,33.16,11.0.0,12.5.2,12.1.0,12.5.0
meta-llama/Llama-3.2-1B (few-shot),3.92,1235814400.0,128256.0,131328,7577.45,✓,✗,4.25,26.57,22.03,19.22,1.46,42.29,52.6,41.76,13.0.0,13.0.0,13.0.0,13.0.0
HuggingFaceTB/SmolLM2-1.7B (few-shot),3.97,1711376384.0,49152.0,8192,16248.88,✓,✗,4.6,29.94,22.84,25.11,2.55,40.88,48.35,40.33,13.1.0,13.1.0,13.1.0,13.1.0
ibm-granite/granite-3.0-1b-a400m-base (few-shot),3.99,1384956928.0,49152.0,4096,7808.38,✓,✗,9.35,31.57,12.76,14.65,0.69,44.03,47.08,37.71,13.2.0,13.2.0,13.2.0,13.2.0
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),4.0,1711376384.0,49152.0,8192,15970.88,✓,✗,1.56,28.78,31.84,28.66,5.05,43.99,48.56,40.55,13.1.0,13.1.0,13.1.0,13.1.0
PleIAs/Pleias-Nano (few-shot),4.01,1195468800.0,65536.0,2048,2519.09,✓,✗,7.9,33.04,23.58,26.01,1.79,40.53,35.07,26.11,14.1.2,14.0.4,14.1.2,14.0.4
3ebdola/Dialectal-Arabic-XLM-R-Base,4.04,277455362.0,250002.0,512,12782.54,✓,✗,8.39,30.69,44.46,60.04,2.07,48.42,9.24,4.3,<9.2.0,<9.2.0,<9.2.0,<9.2.0
dbmdz/bert-tiny-historic-multilingual-cased,4.07,4624642.0,32000.0,512,78027.26,✓,✗,8.45,29.85,41.38,56.29,1.55,49.24,6.62,4.4,<9.2.0,<9.2.0,<9.2.0,<9.2.0
Qwen/Qwen1.5-0.5B-Chat (few-shot),4.08,619570176.0,151936.0,32768,11740.04,✗,✗,8.59,29.65,18.66,17.56,0.34,43.92,35.03,26.74,11.0.0,12.5.2,12.1.0,12.5.0
allenai/OLMo-7B-Twin-2T (few-shot),4.09,6888095744.0,50280.0,2304,5484.4,✓,✗,3.7,17.91,18.7,19.58,2.19,45.43,48.44,38.08,12.5.2,12.5.2,12.5.2,12.5.2
Qwen/Qwen1.5-1.8B (few-shot),4.11,1836828672.0,151936.0,32768,5665.51,✓,✗,5.2,35.43,11.66,15.15,2.89,41.36,48.83,34.6,10.0.1,12.5.2,12.1.0,12.1.0
sentence-transformers/distiluse-base-multilingual-cased-v2,4.11,134734080.0,119547.0,512,33246.61,✓,✗,2.7,26.12,49.82,62.06,6.6,50.71,6.8,2.13,12.6.1,12.6.1,12.6.1,12.6.1
Qwen/Qwen1.5-0.5B (few-shot),4.14,619570176.0,151936.0,32768,11371.34,✓,✗,4.54,26.53,28.3,28.67,-0.42,37.6,29.05,20.81,10.0.1,12.5.2,12.1.0,12.1.0
NorwAI/NorwAI-Llama2-7B (few-shot),4.15,7033270272.0,67993.0,4224,4437.75,✓,✗,6.04,18.08,22.5,24.09,-0.61,46.51,35.73,26.96,12.10.4,12.10.4,12.10.4,12.10.4
HuggingFaceTB/SmolLM2-360M (few-shot),4.18,361821120.0,49152.0,8192,22023.39,✓,✗,6.84,27.74,20.95,25.63,-1.5,34.07,30.14,22.67,13.1.0,13.1.0,13.1.0,13.1.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4.22,117654272.0,250037.0,512,29200.68,✓,✗,0.0,24.33,59.61,67.02,-0.04,48.65,9.04,3.28,12.6.1,12.6.1,12.6.1,12.6.1
state-spaces/mamba-2.8b-hf (few-shot),4.23,2768345600.0,50280.0,33024,2721.51,✓,✗,2.4,22.89,22.95,23.05,3.12,45.58,32.09,22.4,13.0.0,13.0.0,13.0.0,13.0.0
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),4.26,361821120.0,49152.0,8192,21776.98,✓,✗,6.73,27.67,15.68,22.21,0.63,43.48,27.47,19.73,13.1.0,13.1.0,13.1.0,13.1.0
PleIAs/Pleias-Pico (few-shot),4.39,353424384.0,65536.0,2048,2330.93,✓,✗,4.37,18.06,21.32,22.2,-0.19,41.66,15.78,9.38,14.1.2,14.0.4,14.1.2,14.0.4
PleIAs/Pleias-350m-Preview (few-shot),4.41,353424384.0,65536.0,2048,10241.69,✓,✗,3.57,16.42,24.47,26.64,-2.03,39.46,17.17,10.18,14.1.2,14.0.4,14.1.2,14.0.4
allenai/OLMo-1B (few-shot),4.41,1176764416.0,50280.0,2304,8536.09,✓,✗,4.92,19.51,22.58,26.82,-1.27,41.38,11.74,6.64,12.1.0,12.5.2,12.1.0,12.1.0
HuggingFaceTB/SmolLM2-135M (few-shot),4.75,134515008.0,49152.0,8192,26346.08,✓,✗,2.01,15.88,17.49,18.59,-0.02,34.86,3.23,0.53,13.1.0,13.1.0,13.1.0,13.1.0
fresh-xlm-roberta-base,4.78,277455362.0,250002.0,512,2214.08,✓,✗,0.92,25.39,13.09,16.25,1.93,40.76,2.7,0.26,<9.2.0,<9.2.0,<9.2.0,<9.2.0
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),4.79,134515008.0,49152.0,8192,25602.11,✓,✗,-0.62,16.18,15.82,16.46,1.16,34.3,5.89,3.25,13.1.0,13.1.0,13.1.0,13.1.0
fresh-electra-small,4.9,13483522.0,30522.0,512,7840.02,✓,✗,0.0,24.33,11.66,13.45,-0.21,35.79,0.17,0.17,12.6.1,12.6.1,12.6.1,12.6.1
RJuro/kanelsnegl-v0.1 (few-shot),4.94,7241732096.0,32000.0,512,5847.39,✓,✗,0.95,9.87,0.0,0.0,0.0,33.34,5.43,0.0,9.3.1,9.3.1,9.3.1,12.5.1
NorwAI/NorwAI-Mistral-7B-pretrain (few-shot),4.94,7536586752.0,67993.0,4224,3023.95,✓,✗,0.97,13.0,3.8,4.24,-0.37,33.4,2.98,0.4,12.10.4,12.10.4,12.10.4,12.10.4
ssmits/Falcon2-5.5B-multilingual (few-shot),5.06,5465415680.0,65024.0,8192,7691.9,✓,✗,0.0,8.62,0.0,0.0,0.0,33.34,0.01,0.0,13.0.0,13.0.0,13.0.0,13.0.0
ai-forever/mGPT (few-shot),5.08,,100000.0,1024,11734.33,✓,✗,-0.67,8.96,0.11,0.27,-0.97,34.83,1.56,0.29,10.0.1,9.3.1,11.0.0,12.5.1
